7 dis à                         dis à mamy !
37193 petit hibou                    demande le petit hibou .
37200 petit hibou                    demande le petit hibou .
37203 maman hibou                    répond maman hibou .
37214 petit hibou                    là le petit hibou ?
37215 petit hibou                    est le petit hibou ?
37216 petit hibou                    pas le petit hibou ?
37224 as une                         t(u) as une montre , toi
37229 as une                         , t(u) as une montre
37232 petit hibou                    , le petit hibou ?
37235 est à                         c(e) est à la fin que
37238 les hiboux                     les hiboux , ils font dodo
37244 est intéressant               c(e) est intéressant .
37246 regardez ensemble              vous le regardez ensemble ,
37248 attires avec                   tu l' attires avec ton
37249 comment on                     lui montres comment on tire
37250 comment on                     comment on enlève les chaussettes ,
37255 languettes où                 les petites languettes où il
37256 est un                         là il est un peu
37263 comment est-ce                 pas bien comment est-ce qu'
37265 ben il                         ben il regarde , lui .
37267 as un                          t(u) en as un ,
37278 copains à                     les copains à mimi ?
37283 es un                          t(u) es un petit peu près
37286 éléphant elle                de l' éléphant elle fait
37290 est une                        c(e) est une poule .
