4993 fais attention                 fais attention d(e) pas * .
5002 et aujourd'hui                 ranger , et aujourd'hui on
5002 laisser à                     va l(e) laisser à côté
5003 tomber avec                    la laisser tomber avec .
5014 jouer avec                     tu veux jouer avec ça
5028 pas où                        mais j'sais pas où j(e)
5034 pas une                        c' est pas une bonne idée
5041 poisson anaïs                 fais le poisson anaïs .
5045 comment i(l)                   comment i(l) fait l(e) poisson ?
5048 comment i(l)                   comment i(l) fait l(e) poisson ?
5052 chien elle                     le chien elle en veut pas
5058 pas au                         ne touche pas au four
5069 fais un                        tu fais un joli dessin ?
5072 vas où                        ben tu vas où ?
5076 as eu                          t(u) as eu peur !
5094 apparemment y                  apparemment y a * un bleu
5094 et un                          bleu , et un orange
5106 dessin en                      beau ton dessin en tout
5106 cas hein                       en tout cas hein .
5115 est où                        elle est où la boite ?
5178 couleurs un                    crayons de couleurs un peu
5186 est où                        il est où l' autre ?
5196 bien alors                     c' est bien alors .
5203 profites en                    profites , profites en .
5213 puis elle                      puis elle a arrêté d' essayer
5232 pas habitués                  vous êtes pas habitués à la
5232 habitués à                   êtes pas habitués à la
5239 mais elle                      oh mais elle a déjà un
5246 bien hein                      et vise bien hein ?
5255 ouais il                       ouais il est trop grand .
5256 ouais on                       ouais on va essayer quand même
5257 non il                         non il est trop grand celui
5266 non il                         non il en manque un .
5269 es au                          qu(e) t(u) es au bout
5269 bout hein                      es au bout hein .
5273 tiens essaie                   tiens essaie celui là .
5282 veut encore                    elle veut encore .
5286 as été                       t' as été au coiffeur toi
5305 ouais i(l)                     ouais i(l) m(e) semblait .
5362 et assieds                     et assieds toi quand tu bois
5375 et on                          le verre et on descend
5387 met où                        on la met où ?
5402 pas obligée                   t(u) es pas obligée d(e) te
5405 es une                         qu(e) t(u) es une grande
